patient_barcode,SV_CDKN2A_Silenced,SV_CLDN18_Fusion,SV_MYLK_Fusion
TCGA-BR-4187,0,0,0
TCGA-BR-4191,0,0,1
TCGA-BR-4255,0,0,0
TCGA-BR-4267,0,0,0
TCGA-BR-4279,0,0,0
TCGA-BR-4294,0,0,0
TCGA-BR-4357,0,0,1
TCGA-BR-4366,0,0,0
TCGA-BR-4367,0,0,0
TCGA-BR-4369,0,0,0
TCGA-BR-4371,0,0,0
TCGA-BR-6453,0,1,0
TCGA-BR-6454,0,0,0
TCGA-BR-6456,0,0,0
TCGA-BR-6457,0,0,0
TCGA-BR-6458,0,0,0
TCGA-BR-6563,0,0,0
TCGA-BR-6564,0,0,0
TCGA-BR-6565,0,0,1
TCGA-BR-6705,1,0,0
TCGA-BR-6710,0,0,0
TCGA-BR-6801,1,0,0
TCGA-BR-6803,0,0,0
TCGA-BR-7197,0,0,0
TCGA-BR-7715,0,0,0
TCGA-BR-7716,0,0,0
TCGA-BR-7717,1,0,0
TCGA-BR-7722,0,0,0
TCGA-BR-7723,0,0,0
TCGA-BR-7901,0,0,0
TCGA-BR-7957,0,0,0
TCGA-BR-7959,0,0,0
TCGA-BR-8058,0,0,0
TCGA-BR-8077,0,0,0
TCGA-BR-8080,0,0,0
TCGA-BR-8286,0,0,0
TCGA-BR-8289,0,0,0
TCGA-BR-8291,0,0,0
TCGA-BR-8295,0,0,0
TCGA-BR-8296,0,0,0
TCGA-BR-8297,0,0,0
TCGA-BR-8362,1,0,0
TCGA-BR-8364,0,0,0
TCGA-BR-8365,0,0,0
TCGA-BR-8367,0,1,0
TCGA-BR-8369,0,0,0
TCGA-BR-8371,0,0,0
TCGA-BR-8373,0,0,0
TCGA-BR-8380,1,0,0
TCGA-BR-8384,0,1,0
TCGA-BR-8483,0,0,0
TCGA-BR-8484,0,0,0
TCGA-BR-8485,0,0,0
TCGA-BR-8486,0,0,0
TCGA-BR-8588,0,1,0
TCGA-BR-8590,0,0,0
TCGA-BR-8592,0,0,0
TCGA-BR-8677,0,0,0
TCGA-BR-8678,0,0,0
TCGA-BR-8679,1,0,0
TCGA-BR-8680,0,0,0
TCGA-BR-8682,1,0,0
TCGA-BR-8683,0,0,0
TCGA-BR-8687,0,0,0
TCGA-BR-8690,0,0,0
TCGA-BR-A44T,0,0,0
TCGA-BR-A44U,0,0,0
TCGA-BR-A452,0,0,0
TCGA-BR-A453,0,0,0
TCGA-BR-A4CR,0,0,0
TCGA-BR-A4CS,0,0,0
TCGA-BR-A4IU,0,1,0
TCGA-BR-A4IV,0,0,0
TCGA-BR-A4IY,1,0,0
TCGA-BR-A4IZ,0,0,0
TCGA-BR-A4J1,0,0,0
TCGA-BR-A4J2,0,0,0
TCGA-BR-A4J5,0,0,0
TCGA-BR-A4J6,0,0,0
TCGA-BR-A4J7,0,0,0
TCGA-BR-A4J8,1,0,0
TCGA-BR-A4J9,0,0,0
TCGA-BR-A4PD,0,0,0
TCGA-BR-A4PE,1,0,0
TCGA-BR-A4PF,0,0,0
TCGA-BR-A4QI,1,0,0
TCGA-BR-A4QM,0,0,0
TCGA-CD-5798,0,0,0
TCGA-CD-5799,0,0,0
TCGA-CD-5800,0,0,0
TCGA-CD-5803,0,0,0
TCGA-CD-5804,0,0,0
TCGA-CD-5813,0,0,0
TCGA-CD-8524,0,0,0
TCGA-CD-8525,0,0,0
TCGA-CD-8526,0,0,0
TCGA-CD-8527,0,0,0
TCGA-CD-8528,0,0,0
TCGA-CD-8529,0,0,0
TCGA-CD-8530,0,0,0
TCGA-CD-8531,1,0,0
TCGA-CD-8532,0,0,0
TCGA-CD-8534,0,0,0
TCGA-CD-8535,0,0,0
TCGA-CD-A486,0,0,0
TCGA-CD-A487,0,0,0
TCGA-CD-A489,0,0,0
TCGA-CD-A48A,0,0,0
TCGA-CD-A48C,0,0,0
TCGA-CD-A4MH,0,0,0
TCGA-CG-4301,0,0,0
TCGA-CG-4304,0,0,0
TCGA-CG-4436,0,0,0
TCGA-CG-4437,1,0,0
TCGA-CG-4438,0,0,0
TCGA-CG-4440,0,0,0
TCGA-CG-4441,0,0,0
TCGA-CG-4443,0,0,0
TCGA-CG-4444,0,0,0
TCGA-CG-4462,0,1,0
TCGA-CG-4466,0,0,0
TCGA-CG-4469,0,1,0
TCGA-CG-4475,0,0,0
TCGA-CG-4476,0,0,0
TCGA-CG-4477,0,0,0
TCGA-CG-5717,0,0,0
TCGA-CG-5718,0,0,0
TCGA-CG-5719,0,0,0
TCGA-CG-5720,0,0,0
TCGA-CG-5724,0,0,0
TCGA-CG-5732,0,0,0
TCGA-CG-5734,0,0,0
TCGA-D7-5578,0,0,1
TCGA-D7-6518,0,0,0
TCGA-D7-6519,0,0,0
TCGA-D7-6520,0,0,0
TCGA-D7-6521,0,0,0
TCGA-D7-6522,0,0,0
TCGA-D7-6524,1,0,0
TCGA-D7-6525,1,0,0
TCGA-D7-6526,0,0,1
TCGA-D7-6527,0,0,0
TCGA-D7-6528,0,0,0
TCGA-D7-6815,0,0,1
TCGA-D7-6817,0,0,0
TCGA-D7-6818,0,0,0
TCGA-D7-6820,0,0,0
TCGA-D7-6822,0,0,1
TCGA-D7-8572,0,0,0
TCGA-D7-8574,0,0,0
TCGA-D7-8575,0,0,0
TCGA-D7-8576,0,1,0
TCGA-D7-8578,0,0,0
TCGA-D7-8579,0,1,0
TCGA-D7-A4YT,0,0,0
TCGA-D7-A4YU,0,0,0
TCGA-D7-A4Z0,0,1,0
TCGA-EQ-8122,0,0,0
TCGA-EQ-A4SO,0,0,0
TCGA-F1-6875,0,0,0
TCGA-FP-7735,0,0,0
TCGA-FP-7829,1,0,0
TCGA-FP-8099,0,0,0
TCGA-FP-8209,0,0,0
TCGA-FP-8210,0,0,0
TCGA-FP-8211,0,0,0
TCGA-FP-8631,0,0,0
TCGA-FP-A4BF,0,0,0
TCGA-HF-7133,0,0,0
TCGA-HF-7136,0,0,0
TCGA-HU-8243,0,0,0
TCGA-HU-8249,0,0,0
TCGA-HU-8604,1,0,0
TCGA-HU-8610,0,0,0
TCGA-HU-A4G3,0,0,0
TCGA-HU-A4GC,0,0,0
TCGA-HU-A4GD,0,0,0
TCGA-HU-A4GF,0,0,0
TCGA-HU-A4GH,0,0,0
TCGA-HU-A4GP,0,0,0
TCGA-HU-A4GY,0,0,0
TCGA-HU-A4H2,0,0,0
TCGA-HU-A4H5,0,0,0
TCGA-HU-A4H6,0,0,0
TCGA-HU-A4HD,0,0,0
TCGA-IN-7806,1,0,0
TCGA-IN-7808,0,0,0
TCGA-IN-8462,1,0,0
TCGA-IN-8663,0,0,0
TCGA-IP-7968,0,0,0
